,detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,measurements
LD12949690,./diamond-details/LD12949690,['20.10'],['Jun 24'],['Jun 25'],"['$536,506']",,"['$26,692']",['Oval'],['SI2'],['J'],['None'],Good,['67.8'],['Faint'],['1.47'],['Excellent'],['Excellent'],['57.0'],20.97 x 14.25 x 9.66 mm
LD12697784,./diamond-details/LD12697784,['10.03'],['Jun 24'],['Jun 25'],"['$187,965']",,"['$18,740']",['Oval'],['SI2'],['J'],['None'],Good,['66.7'],['None'],['1.60'],['Very Good'],['Good'],['52.0'],17.48 x 10.93 x 7.29 mm
LD06334308,./diamond-details/LD06334308,['6.04'],['Jun 24'],['Jun 25'],"['$85,698']",,"['$14,188']",['Oval'],['SI2'],['J'],['Medium'],Good,['56.1'],['None'],['1.30'],['Very Good'],['Good'],['65.0'],13.99 x 10.75 x 6.03 mm
LD03819065,./diamond-details/LD03819065,['4.02'],['Jun 18'],['Jun 19'],"['$39,253']",,"['$9,764']",['Oval'],['SI2'],['J'],['None'],Good,['65.7'],['Faint'],['1.48'],['Good'],['Good'],['60.0'],12.50 x 8.43 x 5.54 mm
LD11297796,./diamond-details/LD11297796,['4.02'],['Jun 24'],['Jun 25'],"['$38,059']",,"['$9,467']",['Oval'],['SI2'],['J'],['None'],Good,['65.3'],['None'],['1.45'],['Excellent'],['Excellent'],['54.0'],12.74 x 8.77 x 5.72 mm
LD12772699,./diamond-details/LD12772699,['3.01'],['Jun 24'],['Jun 25'],"['$21,293']",,"['$7,074']",['Oval'],['SI2'],['J'],['None'],Good,['67.0'],['Strong'],['1.42'],['Excellent'],['Very Good'],['55.0'],11.06 x 7.78 x 5.22 mm
LD13542256,./diamond-details/LD13542256,['2.01'],['Jul 24'],['Jul 27'],"['$9,687']",,"['$4,819']",['Oval'],['SI2'],['J'],['None'],Good,['68.6'],['None'],['1.49'],['Excellent'],['Excellent'],['55.0'],9.93 x 6.67 x 4.57 mm
LD13638148,./diamond-details/LD13638148,['1.70'],['Jun 19'],['Jun 22'],"['$7,260']",,"['$4,271']",['Oval'],['SI2'],['J'],['None'],Good,['65.9'],['Strong'],['1.42'],['Excellent'],['Very Good'],['54.0'],9.27 x 6.53 x 4.31 mm
LD07765553,./diamond-details/LD07765553,['1.57'],['Jun 24'],['Jun 25'],"['$6,645']",,"['$4,232']",['Oval'],['SI2'],['J'],['Medium'],Good,['62.2'],['None'],['1.55'],['Good'],['Good'],['51.0'],9.70 x 6.24 x 3.88 mm
LD13922525,./diamond-details/LD13922525,['1.50'],['Jun 18'],['Jun 19'],"['$6,350']",,"['$4,233']",['Oval'],['SI2'],['J'],['None'],Good,['65.9'],['Faint'],['1.40'],['Excellent'],['Very Good'],['65.0'],8.79 x 6.30 x 4.15 mm
LD12096252,./diamond-details/LD12096252,['1.53'],['Jun 24'],['Jun 25'],"['$5,398']",,"['$3,528']",['Oval'],['SI2'],['J'],['None'],Good,['66.8'],['None'],['1.29'],['Excellent'],['Very Good'],['62.0'],8.22 x 6.36 x 4.25 mm
LD13186373,./diamond-details/LD13186373,['1.01'],['Jul 7'],['Jul 8'],"['$3,169']",,"['$3,138']",['Oval'],['SI2'],['J'],['None'],Good,['65.9'],['None'],['1.51'],['Excellent'],['Very Good'],['56.0'],8.12 x 5.36 x 3.53 mm
LD13279907,./diamond-details/LD13279907,['1.01'],['Jul 24'],['Jul 27'],"['$2,839']",,"['$2,811']",['Oval'],['SI2'],['J'],['None'],Good,['67.7'],['Faint'],['1.35'],['Excellent'],['Very Good'],['59.0'],7.52 x 5.57 x 3.77 mm
LD13329075,./diamond-details/LD13329075,['1.00'],['Jul 24'],['Jul 27'],"['$2,359']",,"['$2,359']",['Oval'],['SI2'],['J'],['None'],Good,['66.5'],['None'],['1.37'],['Excellent'],['Excellent'],['58.0'],7.47 x 5.44 x 3.62 mm
LD13619468,./diamond-details/LD13619468,['1.01'],['Jul 24'],['Jul 27'],"['$2,264']",,"['$2,242']",['Oval'],['SI2'],['J'],['None'],Good,['66.6'],['None'],['1.35'],['Excellent'],['Very Good'],['54.0'],7.47 x 5.52 x 3.68 mm
LD13594991,./diamond-details/LD13594991,['0.38'],['Jul 10'],['Jul 13'],['$529'],,"['$1,392']",['Oval'],['SI2'],['J'],['None'],Good,['65.7'],['None'],['1.37'],['Excellent'],['Good'],['58.0'],5.52 x 4.04 x 2.65 mm
LD13476048,./diamond-details/LD13476048,['5.01'],['Jun 24'],['Jun 25'],"['$62,983']",,"['$12,571']",['Oval'],['SI1'],['J'],['Very Small'],Good,['64.6'],['Faint'],['1.54'],['Excellent'],['Excellent'],['51.0'],14.52 x 9.43 x 6.09 mm
LD13729984,./diamond-details/LD13729984,['4.01'],['Jul 24'],['Jul 27'],"['$33,083']",,"['$8,250']",['Oval'],['SI1'],['J'],['None'],Good,['66.1'],['Medium'],['1.59'],['Excellent'],['Excellent'],['55.0'],12.98 x 8.16 x 5.39 mm
LD13501182,./diamond-details/LD13501182,['3.01'],['Jul 24'],['Jul 27'],"['$21,824']",,"['$7,250']",['Oval'],['SI1'],['J'],['None'],Good,['67.8'],['Medium'],['1.43'],['Excellent'],['Excellent'],['55.0'],11.06 x 7.75 x 5.25 mm
LD13036374,./diamond-details/LD13036374,['1.51'],['Jun 24'],['Jun 25'],"['$6,846']",,"['$4,534']",['Oval'],['SI1'],['J'],['None'],Good,['65.2'],['None'],['1.37'],['Excellent'],['Very Good'],['56.0'],8.59 x 6.28 x 4.09 mm
LD13307328,./diamond-details/LD13307328,['1.51'],['Jul 24'],['Jul 27'],"['$6,817']",,"['$4,515']",['Oval'],['SI1'],['J'],['None'],Good,['65.5'],['None'],['1.59'],['Excellent'],['Very Good'],['58.0'],9.63 x 6.06 x 3.97 mm
LD13381039,./diamond-details/LD13381039,['1.51'],['Jul 24'],['Jul 27'],"['$5,979']",,"['$3,960']",['Oval'],['SI1'],['J'],['None'],Good,['67.8'],['Medium'],['1.53'],['Excellent'],['Excellent'],['58.0'],9.30 x 6.09 x 4.13 mm
LD12764973,./diamond-details/LD12764973,['1.40'],['Jun 18'],['Jun 19'],"['$4,918']",,"['$3,513']",['Oval'],['SI1'],['J'],['None'],Good,['67.5'],['None'],['1.35'],['Excellent'],['Good'],['54.0'],8.11 x 6.02 x 4.06 mm
LD13702967,./diamond-details/LD13702967,['1.20'],['Jul 24'],['Jul 27'],"['$4,185']",,"['$3,488']",['Oval'],['SI1'],['J'],['None'],Good,['65.9'],['Strong'],['1.41'],['Excellent'],['Very Good'],['56.0'],8.32 x 5.90 x 3.89 mm
LD13866532,./diamond-details/LD13866532,['1.20'],['Jul 24'],['Jul 27'],"['$4,145']",,"['$3,454']",['Oval'],['SI1'],['J'],['None'],Good,['54.4'],['Medium'],['1.54'],['Excellent'],['Very Good'],['61.0'],9.25 x 5.99 x 3.26 mm
LD13767013,./diamond-details/LD13767013,['1.20'],['Jul 10'],['Jul 13'],"['$3,604']",,"['$3,003']",['Oval'],['SI1'],['J'],['None'],Good,['66.7'],['None'],['1.30'],['Excellent'],['Very Good'],['57.0'],7.67 x 5.92 x 3.95 mm
LD13414690,./diamond-details/LD13414690,['1.20'],['Jul 24'],['Jul 27'],"['$2,816']",,"['$2,347']",['Oval'],['SI1'],['J'],['None'],Good,['65.9'],['Strong'],['1.32'],['Excellent'],['Very Good'],['61.0'],7.74 x 5.85 x 3.85 mm
LD13923343,./diamond-details/LD13923343,['1.01'],['Jun 24'],['Jun 25'],"['$2,727']",,"['$2,700']",['Oval'],['SI1'],['J'],['None'],Good,['65.8'],['Faint'],['1.42'],['Very Good'],['Very Good'],['55.0'],7.78 x 5.48 x 3.60 mm
LD13695678,./diamond-details/LD13695678,['1.01'],['Jul 24'],['Jul 27'],"['$2,598']",,"['$2,572']",['Oval'],['SI1'],['J'],['None'],Good,['65.8'],['Faint'],['1.53'],['Very Good'],['Very Good'],['56.0'],8.12 x 5.30 x 3.49 mm
LD13919969,./diamond-details/LD13919969,['0.90'],['Jun 30'],['Jul 1'],"['$2,083']",,"['$2,314']",['Oval'],['SI1'],['J'],['None'],Good,['65.2'],['None'],['1.28'],['Very Good'],['Very Good'],['58.0'],7.08 x 5.52 x 3.60 mm
LD13390601,./diamond-details/LD13390601,['0.90'],['Jul 24'],['Jul 27'],"['$1,964']",,"['$2,182']",['Oval'],['SI1'],['J'],['None'],Good,['65.6'],['None'],['1.39'],['Excellent'],['Very Good'],['55.0'],7.30 x 5.26 x 3.45 mm
LD13676344,./diamond-details/LD13676344,['2.01'],['Jul 24'],['Jul 27'],"['$11,347']",,"['$5,645']",['Oval'],['VS2'],['J'],['None'],Good,['65.7'],['Faint'],['1.33'],['Excellent'],['Excellent'],['56.0'],9.36 x 7.03 x 4.62 mm
LD13028682,./diamond-details/LD13028682,['1.80'],['Jun 18'],['Jun 19'],"['$9,859']",,"['$5,477']",['Oval'],['VS2'],['J'],['None'],Good,['65.5'],['None'],['1.35'],['Excellent'],['Excellent'],['56.0'],8.99 x 6.66 x 4.36 mm
LD13232423,./diamond-details/LD13232423,['1.71'],['Jun 18'],['Jun 19'],"['$8,415']",,"['$4,921']",['Oval'],['VS2'],['J'],['None'],Good,['66.9'],['Medium'],['1.35'],['Excellent'],['Very Good'],['59.0'],8.81 x 6.53 x 4.37 mm
LD12296393,./diamond-details/LD12296393,['1.51'],['Jun 18'],['Jun 19'],"['$6,327']",,"['$4,190']",['Oval'],['VS2'],['J'],['None'],Good,['66.6'],['Faint'],['1.43'],['Excellent'],['Very Good'],['61.0'],8.66 x 6.05 x 4.03 mm
LD13339803,./diamond-details/LD13339803,['1.30'],['Jun 18'],['Jun 19'],"['$5,304']",,"['$4,080']",['Oval'],['VS2'],['J'],['None'],Good,['65.8'],['None'],['1.33'],['Excellent'],['Very Good'],['57.0'],8.06 x 6.04 x 3.97 mm
LD13601778,./diamond-details/LD13601778,['1.20'],['Jun 18'],['Jun 19'],"['$3,897']",,"['$3,248']",['Oval'],['VS2'],['J'],['None'],Good,['68.4'],['None'],['1.30'],['Excellent'],['Very Good'],['56.0'],7.56 x 5.83 x 3.99 mm
LD12123144,./diamond-details/LD12123144,['1.20'],['Jun 18'],['Jun 19'],"['$3,838']",,"['$3,198']",['Oval'],['VS2'],['J'],['None'],Good,['65.2'],['None'],['1.33'],['Excellent'],['Very Good'],['60.0'],7.85 x 5.90 x 3.84 mm
LD12730365,./diamond-details/LD12730365,['1.01'],['Jun 24'],['Jun 25'],"['$3,356']",,"['$3,323']",['Oval'],['VS2'],['J'],['None'],Good,['66.2'],['None'],['1.47'],['Excellent'],['Very Good'],['61.0'],7.83 x 5.34 x 3.53 mm
LD13657566,./diamond-details/LD13657566,['1.01'],['Jul 24'],['Jul 27'],"['$3,128']",,"['$3,097']",['Oval'],['VS2'],['J'],['None'],Good,['66.7'],['None'],['1.42'],['Excellent'],['Excellent'],['54.0'],7.76 x 5.47 x 3.65 mm
LD13258888,./diamond-details/LD13258888,['1.02'],['Jul 24'],['Jul 27'],"['$3,108']",,"['$3,047']",['Oval'],['VS2'],['J'],['None'],Good,['65.5'],['Strong'],['1.49'],['Excellent'],['Very Good'],['56.0'],8.08 x 5.44 x 3.56 mm
LD13735951,./diamond-details/LD13735951,['0.90'],['Jul 24'],['Jul 27'],"['$2,654']",,"['$2,949']",['Oval'],['VS2'],['J'],['None'],Good,['65.7'],['Faint'],['1.35'],['Excellent'],['Very Good'],['58.0'],7.23 x 5.37 x 3.53 mm
LD13467039,./diamond-details/LD13467039,['0.30'],['Jul 10'],['Jul 13'],['$350'],,"['$1,167']",['Oval'],['VS2'],['J'],['None'],Good,['65.5'],['Faint'],['1.36'],['Very Good'],['Good'],['57.0'],5.07 x 3.72 x 2.44 mm
LD13134990,./diamond-details/LD13134990,['5.01'],['Jun 18'],['Jun 19'],"['$66,131']",,"['$13,200']",['Oval'],['VS1'],['J'],['None'],Good,['65.6'],['None'],['1.39'],['Excellent'],['Very Good'],['56.0'],12.97 x 9.34 x 6.12 mm
LD13495437,./diamond-details/LD13495437,['3.01'],['Jul 24'],['Jul 27'],"['$25,730']",,"['$8,548']",['Oval'],['VS1'],['J'],['None'],Good,['65.1'],['Faint'],['1.41'],['Excellent'],['Excellent'],['56.0'],11.23 x 7.98 x 5.20 mm
